Microsoft MS-DOS 6.21i
======================

Packing List for 1.44 MB floppy disks
-------------------------------------

This file lists the contents of each of the three Setup disks.

Many of the files on the three Setup disks are compressed.  The left column
lists the file name as it appears on the disk.  The right column lists the
file name after it has been expanded.  In some cases, the names are the same
because some files are not compressed on the Setup disks. (For example this
file, PACKING.LST, is not compressed).

Any file which is compressed needs to be expanded before it can be used.
All compressed files have a name in the left column which ends with the
underscore ("_") character.  To expand a file, you can use the EXPAND
utility.  This utility is on Setup Disk #1 (in an uncompressed form so you
can use it), and is also copied by Setup to the MS-DOS directory on your
hard disk. (Note: To expand files before running Setup, you must first copy
EXPAND.EXE from Setup Disk #1 to the DOS directory on your hard disk.)

For example, to expand the file MEM.EX_ from Setup Disk #1 in drive A,
to the DOS directory on drive C, follow these steps:

  - Make sure Setup Disk #1 is in drive A
  - Type the following command at the MS-DOS command prompt:
    EXPAND A:\MEM.EX_ C:\DOS\MEM.EXE

The MS-DOS documentation has more information about using the EXPAND utility.


Setup Disk #1
-------------
ANSI.SY_                ANSI.SYS
APPEND.EX_              APPEND.EXE
ATTRIB.EXE              ATTRIB.EXE
AUTOEXEC.BAT            AUTOEXEC.BAT
CHKDSK.EXE              CHKDSK.EXE
COMMAND.COM             COMMAND.COM
CONFIG.SYS              CONFIG.SYS
COUNTRY.SYS             COUNTRY.SYS
DBLWIN.HL_              DBLWIN.HLP
DEBUG.EXE               DEBUG.EXE
DELTREE.EX_             DELTREE.EXE
DISKCOMP.CO_            DISKCOMP.COM
DISKCOPY.CO_            DISKCOPY.COM
DISPLAY.SY_             DISPLAY.SYS
DOSHELP.HL_             DOSHELP.HLP
DOSKEY.CO_              DOSKEY.COM
DOSSETUP.INI            DOSSETUP.INI
DRIVER.SY_              DRIVER.SYS
EDIT.COM                EDIT.COM
EXPAND.EXE              EXPAND.EXE
FASTHELP.EX_            FASTHELP.EXE
FASTOPEN.EX_            FASTOPEN.EXE
FC.EX_                  FC.EXE
FDISK.EXE               FDISK.EXE
FIND.EX_                FIND.EXE
FORMAT.COM              FORMAT.COM
GRAPHICS.CO_            GRAPHICS.COM
HELP.COM                HELP.COM
HELP.HL_                HELP.HLP
HIMEM.SY_               HIMEM.SYS
INTERLNK.EX_            INTERLNK.EXE
INTERSVR.EX_            INTERSVR.EXE
IO.SYS                  IO.SYS
KEYB.COM                KEYB.COM
KEYBOARD.SYS            KEYBOARD.SYS
MEM.EX_                 MEM.EXE
MODE.CO_                MODE.COM
MOVE.EX_                MOVE.EXE
MSDOS.SYS               MSDOS.SYS
NLSFUNC.EXE             NLSFUNC.EXE
PACKING.LST             PACKING.LST
POWER.EX_               POWER.EXE
QBASIC.EXE              QBASIC.EXE
RAMDRIVE.SY_            RAMDRIVE.SYS
README.TXT              README.TXT
SCANDISK.EXE            SCANDISK.EXE
SCANDISK.INI            SCANDISK.INI
SETUP.EXE               SETUP.EXE
SETUP.MSG               SETUP.MSG
SHARE.EX_               SHARE.EXE
SUBST.EX_               SUBST.EXE
SYS.COM                 SYS.COM
VFINTD.38_              VFINTD.386
WINA20.38_              WINA20.386
XCOPY.EX_               XCOPY.EXE


Setup Disk #2
-------------
CHKSTATE.SY_            CHKSTATE.SYS
CHOICE.COM              CHOICE.COM
DEFRAG.EXE              DEFRAG.EXE
